"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
2952.736,127.3392,10.40944,11.3,71.48047,12.20452,0.2360595,27740,"C"
101.9961,126.8159,11.25677,11.3,69.87908,11.87153,0.2430168,1491,"C"
794.6403,114.8916,10.56301,11.3,67.81319,10.58798,0.3903846,8098,"C"
773.3151,103.5051,10.56833,11.7,71.90044,9.447301,0.3601108,8274,"C"
345.0564,129.9322,8.060445,8.6,77.44417,11.66046,0.4003466,6037,"B"
1364.974,123.2635,8.56408,8.9,73.52042,11.24495,0.3361045,19750,"C"
329.6805,150.4499,8.685387,10.4,73.81863,13.21203,0.5335085,6865,"C"
170.9145,100.7409,10.44266,10.9,69.28494,7.749368,0.6703297,2453,"C"
1838.22,126.468,12.48219,12.5,68.47119,11.67873,0.3022814,34800,"D"
814.6935,106.7181,11.86449,12,69.42079,9.177629,0.2680412,15070,"C"
237.0879,109.6219,10.91266,11.4,71.54945,9.024723,0.6666667,4474,"C"
755.2151,114.7631,11.91024,12.1,69.67444,10.11158,0.5436242,20220,"C"
72.9522,188.5877,9.816439,10,72.37254,18.63914,0.575906,2190,"C"
133.4268,169.6863,10.92626,11.3,73.02877,17.22924,0.3819379,3377,"C"
198.1611,123.0831,10.498,11,71.33693,10.95326,0.3208279,2112,"C"
784.8126,124.6274,10.6205,12,70.78104,11.48837,0.2840434,8375,"C"
235.6011,130.4915,10.20849,11,72.23939,12.58267,0.217348,5519,"C"
578.206,117.1454,10.46064,11,70.76822,10.57855,0.2840044,8134,"C"
696.7582,150.2474,12.80727,14.2,68.86658,14.97753,0.1405896,14030,"D"
361.1439,181.3498,12.32208,13.3,70.07853,19.36935,0.2047325,4816,"D"
134.5167,207.2047,10.83294,10.9,70.27663,20.99295,0.3710345,2551,"C"
813.8025,151.2927,14.41535,15.2,71.37607,16.91671,0.5450122,24350,"D"
1163.026,149.8432,14.03239,14,67.97304,15.89572,0.6589595,29140,"D"
419.8266,89.98394,4.240021,4.7,69.54026,6.069997,0.6453202,3019,"A"
1909.592,82.79437,4.799826,4.4,74.41373,5.653332,0.25,5741,"B"
2945.888,81.63911,5.028313,5,72.98405,5.383037,0.2485876,9691,"B"
1184.366,78.69224,4.768044,5.4,69.18944,4.927893,0.4035714,4115,"B"
1769.188,86.87483,7.099053,8.1,69.30743,5.88258,0.3686275,2831,"B"
2243.628,82.41454,5.936593,6.4,71.62188,5.051188,0.4137931,2864,"B"
487.1601,84.79858,5.90831,5.6,71.47527,5.533755,0.3983051,860.5,"B"
455.2974,109.9694,8.503824,9.4,69.10121,7.676787,0.5281385,8212,"B"
232.4457,124.1966,4.869805,6.1,65.73698,8.81255,0.4842615,2667,"B"
302.1894,115.3705,4.984983,5.8,66.58778,8.114893,0.2632479,2831,"B"
4862.024,44.84903,4.332081,4,66.08163,1.84685,0.2814815,3326,"A"
7582.457,46.332,4.206291,4.6,66.4577,1.97615,0.2967033,4561,"A"
1897.332,49.28117,4.309178,4.4,66.84584,2.183084,0.4273504,1963,"A"
1509.827,44.10955,4.570761,4.1,66.05653,1.926019,0.1434599,751.4,"A"
3206.101,46.6508,2.916299,3.3,65.8665,1.967989,0.1779141,2481,"A"
4383.507,69.32641,3.152333,2.9,68.18439,2.790744,0.3109244,17110,"A"
1046.776,57.68918,6.180055,6.3,68.94597,3.776311,0.2279635,4529,"B"
1477.292,82.64437,4.380006,5.9,69.00016,4.603422,0.4645669,12710,"A"
576.3033,83.37862,5.222085,5.9,69.28796,4.595786,0.6111111,9291,"B"
689.3334,88.17793,7.012744,7.3,69.8456,5.181663,0.6009852,3363,"B"
3858.214,88.46086,7.698176,8.4,70.4445,5.225981,0.6565217,24120,"B"
695.3256,86.60411,7.93622,8.3,70.7253,5.514057,0.6071429,5190,"B"
370.7901,88.3892,7.989607,8.4,70.04606,5.650876,0.6666667,2646,"B"
376.3512,92.46471,8.620302,8.9,69.73593,6.153019,0.4297521,3676,"B"
65.3814,92.02065,9.529459,10,69.61971,5.991526,0.5833333,1451,"C"
776.7648,87.15883,7.360552,7.9,71.88169,5.097836,0.4782609,7571,"B"
1151.567,92.58804,9.865631,10.4,69.4387,6.743381,0.6237624,6275,"C"
964.7559,92.72045,9.98494,10.1,68.2753,5.709606,0.625,15110,"C"
905.5557,96.4675,10.87139,11.1,69.30991,7.244817,0.5666667,17140,"C"
1567.004,95.84153,11.32557,11.6,68.18931,6.969841,0.4746835,14520,"C"
922.8276,97.748,11.79008,11.7,68.13941,7.607746,0.6328125,18350,"C"
1158.759,96.3405,10.31925,10.2,71.26321,7.76708,0.2758621,10500,"C"
1695.671,96.06298,10.44486,10.8,68.6188,7.248428,0.6074766,19310,"C"
3354.608,95.93079,10.61074,11.1,68.8747,7.303559,0.5727273,21320,"C"
6783.593,80.60794,0.7087222,5.5,56.76956,7.741138,0.4530154,22950,"A"
58.851,81.40815,-1.23942,-0.4,57.47398,7.237151,0.3810811,666.4,"A"
471.2687,67.48447,1.79098,6,57.48697,6.275944,0.6695552,1334,"A"
61.2315,64.64521,1.303889,2.1,55.06725,5.793764,0.3506098,283,"A"
3171.457,42.17835,5.696596,5.5,63.61207,1.738929,0.3101604,6004,"B"
1501.049,41.07923,5.765102,5.5,63.26103,1.75544,0.2622951,4500,"B"
1441.832,41.00497,5.838294,5.8,63.0835,1.832091,0.2918033,3582,"B"
10598.19,42.18593,5.811368,6,63.3669,1.997012,0.4434307,15290,"B"
12654.96,42.41296,6.81031,7.2,61.51385,2.440661,0.396648,20370,"B"
436.3389,53.52927,7.867013,8.4,57.90733,2.929258,0.3244176,759.2,"B"
205.3285,63.03975,2.770514,3.6,56.882,4.082852,0.6286472,90.5,"A"
427.1049,68.34156,5.200575,7.4,56.54325,4.986186,0.6922348,736.2,"B"
8152.545,45.78752,8.486526,8.3,61.32825,3.229913,0.4293478,12850,"B"
12849.71,45.55664,8.586156,9.1,59.53087,2.813679,0.3895349,10840,"B"
4111.272,49.48276,8.457704,9.2,61.24255,3.196972,0.5210356,4189,"B"
25791.04,48.01422,8.695078,9,60.77364,3.111972,0.4108456,22020,"B"
2914.043,54.28837,8.420975,8.9,62.79207,3.476729,0.480427,1620,"B"
1869.337,50.14897,5.226414,5.8,66.5629,2.906442,0.3358209,2576,"B"
1512.444,56.68231,8.368234,8.2,67.46478,4.115271,0.3333333,3702,"B"
450.1989,72.72764,9.222754,9.2,66.60013,5.562186,0.6165414,2966,"B"
162.9855,88.85958,1.953637,4.6,54.74474,10.06317,0.6058879,1375,"A"
713.826,83.89004,11.78198,11.8,65.98424,6.466875,0.5424837,10001,"C"
4357.758,49.78288,10.32561,10.7,60.30105,3.194912,0.4779772,822.4,"C"
776.4183,80.99202,12.50268,12.7,63.17928,6.381108,0.4068966,6718,"C"
1062.869,86.5278,11.70029,11.7,65.32311,6.417217,0.4603175,14510,"C"
842.346,90.65576,11.93641,12.3,63.34685,6.738206,0.5656566,15020,"C"
748.5822,92.58187,12.18886,12.3,66.8847,6.618292,0.4567901,15780,"C"
1092.723,96.61473,12.29445,12.6,66.98825,6.440218,0.647541,13720,"C"
765.7839,108.2565,13.23724,13.3,66,8.473189,0.5271318,13010,"D"
1069.424,113.0412,13.10004,12.7,66.94528,9.06012,0.4850746,20910,"D"
2149.364,123.7328,13.58592,14.6,67.52465,11.87344,0.4482759,64820,"D"
1456.436,113.1875,13.27527,13.8,66.51372,10.65679,0.4600639,25600,"D"
1053.496,115.8062,13.26068,13.2,67.37798,10.82177,0.4966667,20330,"D"
4349.011,116.1866,13.19472,13,67.0778,10.80513,0.5413105,55550,"D"
5318.585,117.1972,13.23099,13.9,66.8232,10.96967,0.5297158,55080,"D"
2023.769,117.6585,13.23949,13.8,66.24946,11.20233,0.4850299,18210,"D"
60.76139,87.38647,-1.58019,0.4,53.54248,10.67684,0.4818505,320.6,"A"
319.6179,94.35417,13.81448,13.6,63.5223,7.29783,0.3431373,11820,"D"
275.5053,86.36139,12.955,13.2,64,6.807553,0.6024096,5146,"C"
808.4485,125.6886,14.92463,15.4,66.69148,11.47374,0.3324176,18090,"D"
159.2235,65.90964,4.477931,8.4,50.6854,4.987151,0.5766952,275.3,"A"
131.1775,153.2259,18.61084,18.6,72.19804,14.71112,0.5322581,4636,"F"
